carat	cut	color	clarity	depth	table	x	y	z
1.22	Ideal	G	VS1	62.5	57.0	6.82	6.77	4.25
0.37	Ideal	I	VS1	60.8	56.0	4.67	4.71	2.85
1.82	Premium	I	VS1	61.4	60.0	7.83	7.8	4.8
0.74	Very Good	E	VS2	61.8	58.0	5.79	5.82	3.59
0.64	Very Good	I	SI1	63.0	57.0	5.47	5.52	3.46
0.32	Ideal	F	VVS1	60.3	57.0	4.42	4.44	2.67
0.3	Premium	J	VS2	60.6	59.0	4.38	4.34	2.64
0.67	Premium	G	VS2	61.0	57.0	5.68	5.63	3.45
0.43	Ideal	D	SI1	61.5	56.0	4.82	4.87	2.98
1.01	Very Good	F	VS1	62.8	58.0	6.32	6.39	3.99
1.54	Very Good	J	SI1	61.2	59.0	7.41	7.45	4.55
1.01	Very Good	E	VS2	63.3	58.0	6.38	6.35	4.03
1.2	Premium	G	VS1	62.5	59.0	6.72	6.64	4.19
0.3	Ideal	E	VVS1	62.5	56.0	4.28	4.3	2.68
1.56	Ideal	I	SI1	62.5	54.0	7.45	7.37	4.63
0.32	Ideal	G	VVS2	61.1	55.0	4.42	4.45	2.71
0.53	Ideal	E	VS2	61.9	55.0	5.22	5.19	3.22
0.73	Ideal	E	SI1	62.2	56.0	5.74	5.78	3.58
0.4	Very Good	F	VS1	60.4	58.0	4.75	4.79	2.88
0.56	Ideal	D	SI1	61.2	57.0	5.37	5.35	3.28
0.32	Premium	H	VVS1	62.9	58.0	4.37	4.34	2.74
0.41	Premium	E	VS1	59.9	58.0	4.83	4.88	2.91
0.38	Ideal	G	VS1	62.1	56.0	4.68	4.63	2.89
1.53	Premium	F	SI1	62.0	56.0	7.47	7.39	4.61
1.02	Premium	H	SI2	61.1	61.0	6.51	6.48	3.97
2.41	Good	I	SI2	57.7	61.0	8.87	8.83	5.11
0.7	Very Good	E	VS2	58.8	56.0	5.79	5.84	3.42
1.05	Premium	H	SI2	63.0	59.0	6.48	6.44	4.07
0.24	Ideal	F	VVS1	60.8	55.0	4.03	4.06	2.46
0.7	Premium	G	VS2	58.1	55.0	5.83	5.8	3.38
0.93	Very Good	D	SI2	62.6	57.0	6.2	6.26	3.9
2.05	Premium	I	SI1	61.2	57.0	8.24	8.21	5.03
0.32	Premium	H	VVS1	61.4	58.0	4.42	4.37	2.7
0.51	Premium	E	VS2	61.0	60.0	5.12	5.17	3.14
1.11	Premium	G	SI1	60.9	59.0	6.69	6.64	4.07
0.9	Premium	H	SI1	62.8	62.0	6.09	6.05	3.81
0.7	Ideal	I	SI2	61.5	53.0	5.74	5.77	3.54
1.19	Very Good	D	SI2	61.1	58.0	6.84	6.88	4.19
0.3	Premium	E	SI1	62.5	59.0	4.28	4.3	2.68
0.3	Ideal	D	VS2	60.6	58.0	4.31	4.33	2.62
0.54	Ideal	J	SI1	62.5	54.0	5.22	5.25	3.27
0.5	Fair	H	VS1	66.6	58.0	4.95	4.84	3.26
1.12	Premium	G	SI2	61.2	58.0	6.67	6.69	4.09
2.01	Fair	D	SI2	66.9	57.0	7.87	7.76	5.23
0.3	Premium	F	VVS2	62.4	58.0	4.28	4.25	2.66
1.5	Premium	F	VS1	62.2	60.0	7.3	7.27	4.53
0.71	Premium	E	SI1	60.1	60.0	5.78	5.73	3.45
0.55	Ideal	G	VS1	61.5	57.0	5.23	5.28	3.23
0.52	Good	I	SI1	63.6	60.0	5.1	5.05	3.23
1.2	Premium	D	VS2	61.1	58.0	6.85	6.83	4.18
0.73	Ideal	E	SI1	62.8	57.0	5.73	5.74	3.6
0.43	Ideal	I	VVS1	62.2	57.0	4.84	4.81	3.0
1.1	Ideal	H	SI1	62.5	57.0	6.6	6.56	4.11
0.76	Ideal	H	SI1	61.4	55.0	5.82	5.9	3.6
0.71	Very Good	G	VS1	64.0	56.0	5.65	5.67	3.62
1.03	Good	J	I1	58.2	64.0	6.64	6.69	3.88
1.02	Ideal	J	SI2	60.3	54.0	6.53	6.5	3.93
0.35	Ideal	G	VVS1	61.0	56.0	4.56	4.59	2.79
0.34	Good	H	SI1	63.7	57.0	4.44	4.45	2.83
0.7	Fair	G	VS2	64.9	57.0	5.55	5.54	3.6
0.5	Ideal	F	VS2	60.9	57.0	5.14	5.16	3.14
0.74	Premium	E	VS1	62.8	59.0	5.76	5.68	3.59
1.11	Premium	G	SI1	60.1	60.0	6.73	6.68	4.03
0.31	Premium	H	IF	60.8	59.0	4.39	4.36	2.66
0.4	Ideal	H	VVS1	62.0	54.0	4.72	4.76	2.94
0.51	Ideal	E	VS1	61.5	56.0	5.11	5.16	3.16
2.01	Good	G	SI2	63.6	59.0	8.0	7.95	5.07
1.51	Ideal	I	VS2	61.6	57.0	7.34	7.28	4.5
0.91	Fair	D	VS2	64.5	55.0	6.24	6.07	3.97
0.5	Premium	D	VS2	62.2	60.0	5.15	5.05	3.17
0.37	Premium	G	VS1	61.5	58.0	4.6	4.57	2.82
1.01	Very Good	G	VS1	58.8	58.0	6.52	6.61	3.86
0.75	Ideal	J	SI1	61.5	56.0	5.83	5.87	3.6
0.53	Premium	E	VS2	59.6	58.0	5.36	5.32	3.18
0.89	Ideal	D	SI2	60.8	56.0	6.22	6.25	3.79
0.9	Good	I	VVS1	63.6	58.0	6.14	6.1	3.89
0.48	Premium	H	VS1	60.7	61.0	5.04	5.01	3.05
0.9	Very Good	G	SI2	61.1	55.0	6.21	6.26	3.81
0.9	Premium	H	I1	58.8	62.0	6.32	6.26	3.7
0.56	Very Good	D	SI1	62.2	63.0	5.23	5.28	3.27
0.52	Ideal	G	VS2	61.9	55.0	5.15	5.19	3.2
0.74	Ideal	E	VVS2	62.2	57.0	5.78	5.83	3.61
0.81	Premium	D	VS1	62.3	58.0	5.94	6.0	3.72
0.71	Ideal	F	SI1	62.9	57.0	5.71	5.65	3.57
1.2	Premium	J	SI2	59.6	62.0	6.95	6.9	4.13
0.3	Premium	F	VS2	61.4	60.0	4.34	4.29	2.65
1.19	Very Good	E	SI1	58.0	63.0	6.9	6.97	4.02
0.34	Premium	I	SI1	60.0	58.0	4.55	4.51	2.72
1.22	Ideal	D	VS2	61.7	56.0	6.89	6.86	4.24
0.45	Good	E	SI1	63.9	57.0	4.86	4.81	3.09
1.01	Premium	H	VS2	61.9	62.0	6.45	6.37	3.97
1.38	Good	J	SI2	63.7	58.0	7.06	7.01	4.48
0.92	Ideal	F	VS2	61.2	56.0	6.25	6.3	3.84
0.91	Premium	E	VS1	62.7	59.0	6.19	6.15	3.87
1.25	Very Good	E	SI2	60.8	55.0	6.94	7.0	4.24
0.41	Ideal	I	VS2	61.5	55.0	4.8	4.82	2.96
0.41	Ideal	I	VVS2	60.7	57.0	4.81	4.84	2.93
2.11	Premium	J	SI2	61.0	58.0	8.29	8.2	5.03
0.5	Ideal	E	SI1	60.6	57.0	5.19	5.14	3.13
0.3	Premium	D	VS2	61.0	58.0	4.34	4.32	2.64
0.33	Premium	G	VVS2	61.0	58.0	4.44	4.48	2.72
1.32	Premium	I	VS1	62.4	58.0	7.01	6.96	4.36
1.57	Ideal	I	SI2	62.8	57.0	7.39	7.36	4.63
0.23	Very Good	D	VVS2	61.9	60.0	3.9	3.95	2.43
1.09	Premium	F	VS1	60.9	58.0	6.63	6.67	4.05
0.91	Good	G	SI2	63.6	59.0	6.15	6.11	3.9
1.25	Ideal	G	SI2	61.5	56.0	7.0	6.92	4.28
0.29	Very Good	D	VVS2	59.1	61.0	4.33	4.37	2.57
1.01	Very Good	D	VS2	60.6	56.0	6.45	6.51	3.93
0.56	Premium	G	SI1	60.2	59.0	5.36	5.34	3.22
0.61	Ideal	G	VVS1	62.7	58.0	5.39	5.43	3.39
0.71	Good	I	VVS2	63.1	58.0	5.64	5.71	3.58
0.35	Ideal	D	VVS1	61.5	57.0	4.52	4.55	2.79
0.34	Ideal	G	IF	61.3	56.0	4.52	4.55	2.78
2.01	Premium	I	SI1	60.5	58.0	8.2	8.06	4.92
1.58	Premium	J	SI1	59.8	58.0	7.61	7.57	4.54
1.02	Ideal	E	VS2	60.7	56.0	6.58	6.61	4.0
0.3	Very Good	G	SI1	59.5	63.0	4.32	4.29	2.56
0.71	Ideal	F	VS2	62.1	54.0	5.68	5.72	3.54
1.01	Very Good	I	SI1	64.2	55.0	6.28	6.34	4.05
1.02	Ideal	G	VS2	60.5	57.0	6.51	6.55	3.95
0.4	Premium	F	VS1	62.5	59.0	4.69	4.66	2.92
0.32	Premium	F	VVS1	60.7	58.0	4.4	4.43	2.68
0.74	Good	D	VVS1	59.2	62.6	5.85	5.87	3.47
0.72	Ideal	F	VS1	61.3	56.0	5.74	5.78	3.54
0.75	Ideal	H	SI1	61.9	55.0	5.82	5.85	3.61
1.51	Premium	E	SI1	58.3	59.0	7.52	7.47	4.37
0.53	Good	E	VS2	58.6	62.0	5.26	5.32	3.1
1.25	Premium	I	SI2	60.5	58.0	7.0	6.96	4.22
0.51	Very Good	E	VS1	62.0	61.0	5.11	5.14	3.18
0.32	Ideal	I	VVS2	62.2	54.5	4.38	4.42	2.74
0.55	Ideal	H	IF	62.3	54.0	5.25	5.28	3.28
1.02	Ideal	E	VS1	62.6	56.0	6.45	6.42	4.03
1.2	Ideal	F	VS2	61.2	53.0	6.88	6.85	4.2
1.0	Premium	E	VVS1	60.3	54.0	6.59	6.47	3.94
0.3	Ideal	H	SI1	62.0	58.0	4.25	4.33	2.66
0.55	Premium	G	SI2	60.3	58.0	5.35	5.33	3.22
0.32	Ideal	D	SI1	62.6	55.0	4.39	4.36	2.74
1.26	Premium	G	VS2	60.1	61.0	7.04	6.97	4.21
1.22	Ideal	F	SI2	62.5	56.0	6.85	6.81	4.27
0.88	Ideal	I	SI1	63.2	56.0	6.04	6.09	3.83
0.52	Ideal	E	VS2	60.9	57.0	5.21	5.23	3.18
0.52	Ideal	G	SI1	62.2	54.0	5.18	5.2	3.23
0.9	Premium	F	SI2	60.5	57.0	6.23	6.2	3.76
0.32	Ideal	D	VS1	61.1	56.0	4.44	4.47	2.72
0.51	Very Good	D	VS2	63.7	55.0	5.05	5.09	3.23
0.84	Premium	F	SI2	62.3	59.0	6.06	6.01	3.76
1.56	Ideal	H	SI2	62.3	55.0	7.39	7.35	4.59
0.24	Ideal	F	VVS2	62.6	57.0	3.93	3.96	2.47
0.35	Premium	G	VVS2	62.2	58.0	4.54	4.49	2.81
0.36	Premium	D	SI2	60.0	58.0	4.62	4.58	2.76
0.4	Premium	G	IF	59.8	58.0	4.79	4.85	2.88
1.52	Very Good	J	SI1	62.3	57.0	7.32	7.38	4.58
0.25	Very Good	I	VVS2	62.1	56.0	4.03	4.05	2.51
1.04	Very Good	F	VS1	61.6	60.0	6.49	6.54	4.01
0.73	Ideal	F	VS1	61.2	56.0	5.89	5.81	3.58
1.11	Very Good	H	SI2	61.5	59.0	6.56	6.61	4.05
0.4	Premium	E	SI1	62.0	61.0	4.71	4.67	2.91
0.26	Ideal	E	VVS2	61.3	57.0	4.12	4.15	2.53
2.1	Fair	G	I1	67.4	59.0	7.82	7.76	5.24
0.36	Premium	G	SI1	61.8	59.0	4.55	4.57	2.82
0.57	Very Good	F	VS2	62.0	54.0	5.31	5.34	3.3
0.79	Ideal	H	IF	61.3	56.0	5.96	5.98	3.66
0.34	Ideal	E	SI1	62.9	56.0	4.48	4.45	2.81
0.9	Premium	H	VS2	60.0	59.0	6.23	6.16	3.72
0.9	Very Good	F	SI1	60.4	60.0	6.23	6.29	3.78
0.32	Ideal	D	SI2	59.8	57.0	4.4	4.46	2.65
0.31	Good	D	SI2	63.6	54.0	4.34	4.31	2.75
0.35	Premium	G	VS1	60.7	61.0	4.58	4.54	2.77
0.72	Ideal	E	SI2	61.9	55.0	5.76	5.78	3.57
0.73	Ideal	E	SI1	60.1	56.0	5.91	5.87	3.54
0.3	Ideal	H	SI1	61.9	57.0	4.3	4.32	2.67
0.75	Ideal	E	SI2	62.6	55.0	5.72	5.79	3.6
1.01	Fair	G	SI2	67.1	59.0	6.27	6.19	4.18
1.01	Good	I	VS2	63.6	57.0	6.3	6.21	3.98
0.55	Very Good	E	VVS2	60.6	56.0	5.33	5.36	3.24
0.3	Ideal	E	VS2	62.0	55.0	4.25	4.3	2.65
1.99	Premium	G	SI2	59.1	61.0	8.08	8.05	4.77
0.5	Ideal	D	VVS2	61.8	54.1	5.1	5.14	3.16
0.37	Ideal	G	VS2	62.2	57.0	4.64	4.59	2.87
0.32	Ideal	F	VVS1	61.1	56.0	4.45	4.42	2.71
0.72	Ideal	F	SI1	61.0	55.0	5.78	5.85	3.55
1.09	Premium	I	VS2	60.1	59.0	6.74	6.67	4.03
0.9	Very Good	G	VS2	58.8	61.0	6.28	6.3	3.7
0.3	Premium	H	SI1	60.8	61.0	4.3	4.25	2.6
1.15	Premium	H	SI2	61.6	60.0	6.75	6.72	4.15
0.32	Premium	D	SI1	61.4	58.0	4.42	4.38	2.7
0.5	Premium	H	SI1	62.9	58.0	5.04	5.01	3.16
0.4	Premium	E	SI1	62.0	55.0	4.74	4.68	2.92
0.5	Ideal	G	VVS1	62.1	53.5	5.08	5.13	3.17
0.83	Premium	E	SI1	60.7	58.0	6.06	6.09	3.69
1.2	Premium	D	SI2	60.2	60.0	6.94	6.81	4.14
0.4	Very Good	E	SI1	61.4	58.0	4.77	4.81	2.94
0.33	Ideal	H	VS1	61.9	56.0	4.44	4.48	2.76
0.54	Good	G	VS2	56.9	62.0	5.42	5.4	3.08
1.01	Fair	E	SI1	56.8	61.0	6.59	6.62	3.75
1.01	Fair	F	SI1	66.1	60.0	6.15	6.13	4.06
0.31	Ideal	H	VVS2	62.4	57.0	4.32	4.36	2.71
0.4	Very Good	E	SI1	62.9	58.0	4.71	4.74	2.97
0.39	Ideal	F	VVS2	61.3	56.0	4.73	4.77	2.91
0.31	Ideal	G	VVS2	61.4	56.0	4.38	4.35	2.68
0.31	Ideal	H	SI1	61.5	56.0	4.36	4.39	2.69
0.33	Premium	I	IF	62.0	58.0	4.46	4.44	2.76
0.3	Very Good	H	SI1	61.3	61.0	4.25	4.27	2.61
0.52	Ideal	D	VS2	61.8	55.0	5.19	5.16	3.2
0.41	Premium	E	VS1	60.6	59.0	4.8	4.77	2.9
0.7	Ideal	G	VVS2	61.0	56.0	5.74	5.77	3.51
1.09	Ideal	G	VS2	61.2	56.0	6.62	6.64	4.06
1.01	Premium	G	VS1	62.3	59.0	6.42	6.38	3.99
0.3	Ideal	G	VS1	61.9	56.0	4.34	4.29	2.67
0.5	Premium	D	SI1	61.3	60.0	5.15	5.1	3.14
1.13	Premium	G	SI2	60.0	61.0	6.78	6.71	4.05
0.59	Ideal	G	VVS2	61.0	57.0	5.44	5.41	3.31
1.3	Good	J	SI2	62.9	56.0	6.9	6.94	4.35
0.45	Very Good	G	SI2	59.7	61.0	4.95	5.0	2.97
0.73	Ideal	E	VS1	62.3	56.0	5.8	5.75	3.6
0.41	Ideal	D	VVS2	62.3	55.0	4.76	4.77	2.97
0.31	Good	G	SI1	63.6	57.0	4.33	4.29	2.74
1.52	Good	H	VS2	63.3	57.0	7.32	7.33	4.64
0.32	Ideal	G	VVS2	61.4	55.0	4.4	4.43	2.71
1.26	Ideal	G	SI2	60.9	55.0	7.05	7.0	4.28
1.01	Good	G	SI1	63.9	57.0	6.3	6.37	4.05
0.9	Very Good	G	SI2	63.1	59.0	6.11	6.16	3.87
0.76	Premium	D	SI2	58.8	57.0	6.03	5.98	3.51
0.5	Ideal	G	SI1	61.7	57.0	5.06	5.08	3.13
0.7	Premium	J	VS2	61.2	60.0	5.73	5.7	3.5
1.21	Ideal	H	VS1	60.7	57.0	6.86	6.89	4.17
1.0	Very Good	G	VVS2	62.3	58.0	6.39	6.45	4.0
0.32	Premium	H	VS2	60.5	59.0	4.43	4.39	2.67
2.01	Fair	H	SI2	66.7	56.0	7.8	7.76	5.19
1.01	Good	J	VS2	62.8	58.0	6.3	6.35	3.97
0.35	Premium	F	VS2	61.5	59.0	4.53	4.55	2.79
1.62	Premium	F	SI1	60.1	58.0	7.63	7.59	4.57
0.34	Ideal	G	VS2	61.1	55.0	4.55	4.52	2.77
1.2	Ideal	I	SI1	62.2	57.0	6.8	6.77	4.22
0.28	Very Good	D	VVS2	62.2	52.0	4.21	4.25	2.63
0.41	Premium	F	VVS2	60.3	58.0	4.83	4.79	2.9
0.58	Premium	E	VS1	60.7	58.0	5.41	5.36	3.27
0.53	Premium	E	VS2	58.5	61.0	5.33	5.26	3.1
0.47	Ideal	I	VS2	62.1	54.0	4.98	5.0	3.1
0.5	Premium	D	VS2	61.1	58.0	5.12	5.09	3.12
0.44	Good	D	VS2	60.6	64.0	4.97	4.89	2.99
0.71	Ideal	D	SI2	62.3	56.0	5.68	5.72	3.55
0.3	Ideal	G	VVS1	62.3	54.0	4.31	4.33	2.69
0.48	Good	G	VS1	58.6	62.0	5.14	5.2	3.03
0.78	Very Good	E	SI1	63.4	56.0	5.84	5.9	3.72
0.34	Ideal	H	VVS2	60.9	55.0	4.52	4.54	2.75
1.1	Premium	H	VS1	61.3	58.0	6.66	6.61	4.07
0.73	Ideal	D	VVS2	62.2	56.0	5.79	5.73	3.58
1.01	Good	I	SI2	62.6	59.0	6.34	6.43	4.0
0.91	Very Good	F	SI1	62.3	60.0	6.08	6.15	3.81
0.32	Ideal	H	VS1	61.1	56.0	4.44	4.46	2.72
1.09	Ideal	F	VVS2	62.1	56.0	6.55	6.59	4.08
1.01	Very Good	D	SI2	61.4	60.0	6.33	6.38	3.9
2.01	Good	I	VS2	63.8	58.0	7.82	7.89	5.01
1.46	Premium	G	SI2	59.5	59.0	7.34	7.29	4.35
1.0	Good	F	SI1	64.1	60.0	6.25	6.19	3.99
0.71	Very Good	I	VVS1	63.0	58.0	5.66	5.68	3.57
0.31	Very Good	E	VVS2	61.5	55.0	4.37	4.41	2.7
0.98	Good	F	SI1	56.8	64.0	6.68	6.52	3.75
1.25	Good	F	VS2	63.9	58.0	6.76	6.71	4.31
0.4	Ideal	G	IF	62.2	55.0	4.73	4.76	2.95
0.7	Good	I	SI1	63.6	55.0	5.62	5.58	3.56
0.4	Very Good	E	SI1	62.2	56.0	4.71	4.74	2.94
0.51	Ideal	D	SI1	61.7	55.0	5.11	5.16	3.17
1.12	Ideal	G	VS2	62.0	56.0	6.64	6.69	4.13
0.33	Ideal	G	VVS2	61.3	56.0	4.46	4.48	2.74
0.36	Ideal	H	SI1	61.4	56.0	4.56	4.59	2.81
0.24	Very Good	F	SI1	60.9	61.0	4.02	4.03	2.45
1.01	Premium	G	IF	61.3	58.0	6.48	6.4	3.95
1.07	Ideal	H	SI1	61.0	56.0	6.6	6.68	4.05
1.21	Premium	H	SI2	60.9	61.0	6.88	6.82	4.17
0.3	Good	H	VVS2	63.6	56.0	4.29	4.26	2.72
0.46	Ideal	H	IF	62.2	55.0	4.94	4.99	3.09
0.32	Premium	H	VS1	62.4	58.0	4.35	4.4	2.73
0.33	Very Good	F	SI2	63.0	58.0	4.4	4.42	2.78
0.3	Premium	H	VVS2	60.8	60.0	4.29	4.33	2.62
0.51	Very Good	E	SI1	62.8	56.0	5.07	5.15	3.21
1.01	Premium	F	VS2	61.1	59.0	6.44	6.35	3.91
1.83	Very Good	I	VS1	61.9	57.0	7.85	7.91	4.88
0.93	Good	G	SI2	64.5	56.3	6.08	6.14	3.94
0.57	Very Good	G	VS1	59.3	56.0	5.38	5.44	3.21
0.34	Ideal	E	VS2	62.6	57.0	4.45	4.47	2.79
0.32	Premium	F	SI1	60.7	62.0	4.43	4.4	2.68
1.01	Very Good	G	VS1	62.2	53.0	6.48	6.54	4.05
1.51	Very Good	H	SI1	61.7	61.0	7.3	7.35	4.52
2.08	Ideal	H	SI1	61.7	58.0	8.13	8.21	5.04
1.02	Very Good	G	SI2	61.6	61.0	6.46	6.47	3.98
0.51	Very Good	D	VS1	61.0	57.0	5.15	5.18	3.15
1.01	Ideal	G	VS2	61.0	56.0	6.46	6.49	3.95
0.33	Ideal	E	VS1	62.3	53.8	4.42	4.44	2.76
1.51	Very Good	I	SI1	62.6	60.0	7.27	7.34	4.57
1.24	Very Good	I	SI1	60.4	58.0	6.95	7.02	4.22
0.51	Premium	E	SI2	62.0	57.0	5.13	5.09	3.17
1.51	Ideal	E	SI2	62.7	55.0	7.27	7.18	4.53
2.0	Fair	H	SI2	65.3	55.0	7.88	7.79	5.12
0.41	Premium	E	SI1	61.8	60.0	4.78	4.74	2.94
0.23	Very Good	H	VVS2	62.4	55.0	3.91	3.94	2.45
1.28	Ideal	I	SI2	62.5	59.0	6.88	6.95	4.32
0.27	Ideal	H	VS1	62.2	56.0	4.12	4.15	2.57
0.3	Ideal	F	IF	59.8	58.0	4.37	4.46	2.64
1.15	Premium	G	VS1	63.0	60.0	6.68	6.6	4.18
0.72	Ideal	J	VS2	61.4	57.0	5.76	5.8	3.55
1.01	Good	G	SI2	61.1	62.0	6.38	6.48	3.93
1.6	Premium	F	SI2	61.8	57.0	7.51	7.46	4.63
0.71	Ideal	F	SI2	61.8	57.0	5.69	5.72	3.53
0.4	Very Good	F	VS1	62.2	57.6	4.74	4.76	2.96
0.31	Ideal	H	IF	62.1	54.0	4.37	4.33	2.7
1.07	Ideal	H	VS2	61.8	56.0	6.52	6.55	4.04
0.33	Ideal	F	VS2	61.1	56.0	4.47	4.5	2.74
0.31	Ideal	G	VS2	62.1	55.0	4.35	4.38	2.71
0.3	Premium	G	VS1	62.5	59.0	4.32	4.25	2.68
0.96	Fair	H	I1	64.3	59.0	6.38	5.88	3.98
0.32	Ideal	E	I1	60.7	57.0	4.45	4.41	2.69
0.49	Very Good	F	SI1	62.5	57.0	4.99	5.02	3.13
1.03	Premium	G	VS1	62.2	57.0	6.47	6.42	4.01
1.67	Very Good	J	SI1	62.3	59.0	7.59	7.63	4.74
1.67	Premium	I	VS1	61.1	58.0	7.69	7.6	4.67
0.7	Very Good	H	SI1	63.3	58.0	5.61	5.64	3.56
1.5	Very Good	E	SI1	59.4	59.0	7.42	7.49	4.43
0.28	Very Good	G	VS2	61.3	57.0	4.21	4.24	2.59
0.3	Good	G	VS2	63.1	57.0	4.24	4.28	2.69
0.56	Ideal	G	VVS2	61.6	56.0	5.32	5.29	3.27
0.31	Ideal	D	VS1	60.6	57.0	4.36	4.39	2.65
0.3	Premium	E	VS2	62.0	60.0	4.26	4.23	2.63
1.21	Very Good	H	SI2	62.6	61.0	6.7	6.75	4.21
1.2	Premium	H	SI1	62.2	58.0	6.78	6.72	4.2
0.96	Fair	G	I1	64.5	60.0	6.16	6.11	3.96
