carat,cut,color,clarity,depth,table,price,x,y,z,color_classification,z_depth,table_width,volume,top_symmetry,vol_symmetry
1.51,5,6,3,61.1,59.0,8342,7.4,7.37,4.51,2.0,27556.1,43660.0,245.96638000000002,1.0040705563093624,12.09268292682927
2.5,1,4,1,65.1,59.0,8711,8.55,8.39,5.53,2.0,36000.299999999996,50445.00000000001,396.6917850000001,1.0190703218116806,12.971880650994576
0.7,5,4,3,61.9,58.0,2567,5.66,5.69,3.51,2.0,21726.899999999998,32828.0,113.04095400000001,0.9947275922671353,9.175327635327637
0.34,5,6,5,62.0,56.0,555,4.5,4.53,2.8,2.0,17360.0,25200.0,57.078,0.9933774834437086,7.280357142857144
1.7,5,4,7,61.0,56.0,18445,7.67,7.62,4.66,2.0,28426.0,42952.0,272.355564,1.0065616797900263,12.541931330472103
1.2,5,3,4,62.3,55.0,8486,6.83,6.79,4.24,1.0,26415.199999999997,37565.0,196.632968,1.0058910162002945,10.937665094339623
0.35,4,2,4,62.1,59.0,984,4.49,4.46,2.78,1.0,17263.8,26491.000000000004,55.670612,1.0067264573991033,7.2033812949640295
0.36,3,4,6,59.5,56.0,858,4.68,4.73,2.8,2.0,16660.0,26208.0,61.98192,0.989429175475687,7.905857142857144
0.56,5,4,6,61.6,55.0,2066,5.32,5.35,3.28,2.0,20204.8,29260.000000000004,93.35535999999999,0.9943925233644861,8.677439024390244
0.27,5,5,5,62.3,56.0,464,4.15,4.17,2.59,2.0,16135.699999999997,23240.000000000004,44.821245000000005,0.9952038369304558,6.681660231660233
0.33,5,4,8,61.7,55.0,1052,4.47,4.45,2.75,2.0,16967.5,24585.0,54.701625,1.0044943820224719,7.233272727272728
0.38,3,1,3,59.7,60.0,733,4.66,4.69,2.79,1.0,16656.300000000003,27960.000000000004,60.97656600000001,0.9936034115138592,7.833476702508961
0.5,3,5,3,62.9,58.0,1068,5.01,5.04,3.16,2.0,19876.4,29058.0,79.791264,0.994047619047619,7.990632911392405
1.21,4,5,4,60.8,62.0,5461,6.82,6.78,4.13,2.0,25110.399999999998,42284.0,190.969548,1.0058997050147493,11.196029055690074
0.33,4,4,3,62.3,59.0,492,4.39,4.44,2.75,2.0,17132.5,25901.0,53.60190000000001,0.9887387387387386,7.0878545454545465
0.31,5,1,5,61.6,54.0,696,4.33,4.37,2.68,1.0,16508.800000000003,23382.0,50.711228000000006,0.9908466819221968,7.0604850746268655
0.5,4,4,6,61.6,60.0,1935,5.13,5.1,3.15,2.0,19404.0,30780.0,82.41344999999998,1.0058823529411764,8.305714285714284
0.52,4,2,5,61.7,58.0,1819,5.17,5.11,3.17,1.0,19558.9,29986.0,83.747279,1.0117416829745596,8.33397476340694
0.38,5,2,5,62.2,54.1,1133,4.63,4.65,2.89,1.0,17975.8,25048.3,62.22025500000001,0.9956989247311827,7.449653979238755
1.7,4,6,4,60.7,59.0,11519,7.63,7.7,4.65,2.0,28225.500000000004,45017.0,273.19215,0.9909090909090909,12.634623655913977
0.3,4,5,5,61.0,58.0,675,4.31,4.28,2.62,2.0,15982.0,24998.0,48.330616,1.0070093457943923,7.040763358778626
0.24,5,5,4,61.1,56.0,391,3.99,4.03,2.45,2.0,14969.500000000002,22344.0,39.39526500000001,0.9900744416873449,6.563142857142858
0.54,5,1,3,60.8,57.0,1786,5.31,5.25,3.21,1.0,19516.8,30266.999999999996,89.486775,1.0114285714285713,8.684579439252335
1.5,4,3,6,58.8,58.0,17203,7.51,7.43,4.39,1.0,25813.199999999993,43558.0,244.95892699999996,1.0107671601615074,12.710546697038724
0.4,5,7,6,61.9,55.0,662,4.74,4.79,2.95,2.0,18260.5,26070.0,66.97857000000002,0.989561586638831,7.696474576271187
0.61,2,3,4,63.0,64.2,1971,5.29,5.32,3.34,1.0,21042.0,33961.8,93.996952,0.994360902255639,8.425988023952096
1.0,3,6,4,64.0,54.0,4739,6.28,6.34,4.04,2.0,25856.0,33912.0,160.853408,0.9905362776025237,9.855247524752475
0.72,5,3,5,60.5,56.0,3759,5.82,5.85,3.53,1.0,21356.5,32592.0,120.18590999999998,0.994871794871795,9.645042492917847
1.02,1,2,4,66.6,57.0,5350,6.09,6.14,4.07,1.0,27106.2,34713.0,152.187882,0.99185667752443,9.187371007371006
0.41,5,3,7,60.3,56.0,1295,4.8,4.85,2.91,1.0,17547.300000000003,26880.0,67.7448,0.9896907216494846,7.999999999999999
0.3,5,1,5,62.0,54.0,848,4.34,4.3,2.68,1.0,16616.0,23436.0,50.01416,1.0093023255813953,6.963432835820894
0.28,5,4,8,61.3,57.0,650,4.25,4.27,2.6,2.0,15938.0,24225.0,47.183499999999995,0.9953161592505856,6.979807692307691
0.31,4,4,7,60.7,58.0,816,4.37,4.4,2.66,2.0,16146.200000000003,25346.0,51.146480000000004,0.9931818181818182,7.228571428571429
0.53,5,3,4,61.3,55.0,1723,5.22,5.25,3.21,1.0,19677.3,28709.999999999996,87.97004999999999,0.9942857142857142,8.537383177570092
0.33,5,2,4,61.0,57.0,928,4.46,4.43,2.71,1.0,16531.0,25422.0,53.543638,1.0067720090293455,7.29070110701107
0.52,3,5,4,63.5,58.0,1389,5.08,5.09,3.23,2.0,20510.5,29464.0,83.518756,0.9980353634577603,8.00532507739938
1.5,2,6,5,63.3,58.0,8910,7.19,7.24,4.57,2.0,28928.100000000002,41702.00000000001,237.89409200000003,0.9930939226519337,11.390722100656456
1.0,3,6,3,58.5,61.0,4649,6.51,6.55,3.82,2.0,22347.0,39711.0,162.88670999999997,0.9938931297709923,11.16243455497382
1.91,4,4,2,61.9,58.0,9038,7.9,7.84,4.87,2.0,30145.299999999996,45820.00000000001,301.62832000000003,1.0076530612244898,12.717864476386037
1.51,5,6,3,61.2,60.0,8396,7.39,7.37,4.52,2.0,27662.399999999998,44340.0,246.17863599999998,1.0027137042062415,12.049623893805311
0.32,4,6,3,62.9,58.0,554,4.35,4.33,2.73,2.0,17171.699999999997,25230.0,51.420915,1.0046189376443417,6.89945054945055
1.0,4,4,5,62.9,60.0,6989,6.36,6.29,3.98,2.0,25034.199999999997,38160.0,159.21751200000003,1.0111287758346583,10.0513567839196
0.42,4,3,6,60.3,59.0,1221,4.86,4.83,2.92,1.0,17607.6,28674.0,68.543496,1.0062111801242237,8.038972602739726
1.21,3,6,3,62.8,57.0,5346,6.73,6.8,4.25,2.0,26689.999999999996,38361.0,194.497,0.9897058823529412,10.768
0.59,3,4,3,59.3,58.0,1555,5.45,5.51,3.25,2.0,19272.5,31610.000000000004,97.59587499999999,0.9891107078039928,9.239846153846154
0.75,1,3,5,55.8,70.0,2859,6.09,5.98,3.37,1.0,18804.6,42630.0,122.729334,1.0183946488294313,10.806587537091987
2.01,4,5,4,62.8,58.0,13342,7.99,7.9,4.99,2.0,31337.2,46342.0,314.97379,1.0113924050632912,12.649498997995991
0.77,4,3,4,62.4,59.0,3018,5.85,5.81,3.64,1.0,22713.6,34515.0,123.71813999999999,1.0068846815834769,9.337499999999999
0.61,5,4,6,62.4,53.8,2331,5.42,5.45,3.39,2.0,21153.6,29159.6,100.13721000000001,0.9944954128440366,8.713569321533923
1.35,5,4,8,62.2,57.0,14616,7.07,7.11,4.41,2.0,27430.2,40299.0,221.68055700000002,0.9943741209563994,11.39857142857143
1.01,5,2,6,62.7,56.0,9735,6.42,6.46,4.04,1.0,25330.800000000003,35952.0,167.551728,0.9938080495356038,10.265643564356434
0.3,2,4,4,58.5,64.0,648,4.42,4.37,2.57,2.0,15034.5,28288.0,49.640578,1.0114416475972539,7.515719844357977
1.0,3,1,3,60.1,60.0,4697,6.47,6.55,3.91,1.0,23499.100000000002,38820.0,165.69993499999998,0.9877862595419847,10.83849104859335
0.5,1,2,2,68.6,56.0,871,4.87,4.75,3.3,1.0,22637.999999999996,27272.000000000004,76.33725,1.0252631578947369,7.009848484848486
0.42,5,4,6,62.1,57.0,1103,4.8,4.77,2.97,2.0,18443.7,27359.999999999996,68.00112,1.0062893081761006,7.709090909090907
0.77,5,5,3,62.2,56.0,2781,5.83,5.88,3.64,2.0,22640.800000000003,32648.0,124.78065600000001,0.9914965986394558,9.417692307692308
2.3,4,6,2,61.3,58.0,11051,8.53,8.46,5.21,2.0,31937.3,49473.99999999999,375.973398,1.0082742316784867,13.851017274472168
0.53,3,4,5,60.9,56.0,1636,5.24,5.27,3.2,2.0,19488.0,29344.0,88.36736,0.9943074003795067,8.629624999999999
1.22,5,4,5,62.5,57.0,8608,6.82,6.77,4.25,2.0,26562.5,38874.0,196.22844999999998,1.0073855243722305,10.863858823529412
0.37,5,6,5,60.8,56.0,603,4.67,4.71,2.85,2.0,17328.0,26152.0,62.687745,0.9915074309978769,7.71778947368421
1.82,4,6,5,61.4,60.0,13939,7.83,7.8,4.8,2.0,29471.999999999996,46980.0,293.1552,1.0038461538461538,12.72375
0.74,3,2,4,61.8,58.0,3180,5.79,5.82,3.59,1.0,22186.2,33582.0,120.97510199999999,0.9948453608247422,9.38657381615599
0.64,3,6,3,63.0,57.0,1390,5.47,5.52,3.46,2.0,21798.0,31178.999999999996,104.47262399999998,0.9909420289855073,8.726705202312138
0.32,5,3,7,60.3,57.0,912,4.42,4.44,2.67,1.0,16100.099999999999,25194.0,52.398216,0.9954954954954954,7.350112359550562
0.3,4,7,4,60.6,59.0,473,4.38,4.34,2.64,2.0,15998.400000000001,25842.0,50.184288,1.0092165898617511,7.200454545454545
0.67,4,4,4,61.0,57.0,2050,5.68,5.63,3.45,2.0,21045.0,32376.0,110.32548,1.0088809946714032,9.269101449275361
0.43,5,1,3,61.5,56.0,830,4.82,4.87,2.98,1.0,18327.0,26992.0,69.950732,0.9897330595482546,7.876979865771813
1.01,3,3,5,62.8,58.0,6999,6.32,6.39,3.99,1.0,25057.2,36656.0,161.135352,0.9890453834115807,10.121503759398495
1.54,3,7,3,61.2,59.0,7453,7.41,7.45,4.55,2.0,27845.999999999996,43719.0,251.180475,0.9946308724832215,12.132857142857144
1.01,3,2,4,63.3,58.0,6516,6.38,6.35,4.03,1.0,25509.9,37004.0,163.26739,1.004724409448819,10.052853598014888
1.2,4,4,5,62.5,59.0,8056,6.72,6.64,4.19,2.0,26187.5,39647.99999999999,186.961152,1.0120481927710843,10.649355608591883
0.3,5,2,7,62.5,56.0,862,4.28,4.3,2.68,1.0,16750.0,23968.0,49.322720000000004,0.9953488372093025,6.867164179104477
1.56,5,6,3,62.5,54.0,9788,7.45,7.37,4.63,2.0,28937.5,40230.0,254.217095,1.010854816824966,11.858855291576674
0.32,5,4,6,61.1,55.0,730,4.42,4.45,2.71,2.0,16558.1,24310.0,53.30299,0.9932584269662921,7.257933579335794
0.53,5,2,4,61.9,55.0,1813,5.22,5.19,3.22,1.0,19931.800000000003,28709.999999999996,87.235596,1.005780346820809,8.41360248447205
0.73,5,2,3,62.2,56.0,2791,5.74,5.78,3.58,1.0,22267.600000000002,32144.0,118.774376,0.9930795847750865,9.267374301675977
0.4,3,3,5,60.4,58.0,868,4.75,4.79,2.88,1.0,17395.2,27550.0,65.52720000000001,0.9916492693110647,7.900173611111112
0.56,5,1,3,61.2,57.0,1664,5.37,5.35,3.28,1.0,20073.6,30609.000000000004,94.23275999999998,1.0037383177570094,8.758993902439025
0.32,4,5,7,62.9,58.0,936,4.37,4.34,2.74,2.0,17234.6,25346.0,51.96629200000001,1.0069124423963134,6.921824817518249
0.41,4,2,5,59.9,58.0,1079,4.83,4.88,2.91,1.0,17430.9,28014.0,68.589864,0.9897540983606558,8.099793814432989
0.38,5,4,5,62.1,56.0,1040,4.68,4.63,2.89,2.0,17946.9,26208.0,62.621676,1.0107991360691144,7.497716262975778
1.53,4,3,3,62.0,56.0,11370,7.47,7.39,4.61,1.0,28582.0,41832.0,254.48721300000003,1.0108254397834913,11.974685466377439
1.02,4,5,2,61.1,61.0,4113,6.51,6.48,3.97,2.0,24256.7,39711.0,167.473656,1.0046296296296295,10.625894206549118
2.41,2,6,2,57.7,61.0,17923,8.87,8.83,5.11,2.0,29484.700000000004,54106.99999999999,400.225931,1.0045300113250282,15.327221135029351
0.7,3,2,4,58.8,56.0,2473,5.79,5.84,3.42,1.0,20109.6,32424.0,115.642512,0.9914383561643836,9.887017543859649
1.05,4,5,2,63.0,59.0,4234,6.48,6.44,4.07,2.0,25641.000000000004,38232.00000000001,169.84598400000004,1.0062111801242235,10.253366093366095
0.24,5,3,7,60.8,55.0,678,4.03,4.06,2.46,1.0,14956.8,22165.0,40.25002799999999,0.9926108374384238,6.651138211382113
0.7,4,4,4,58.1,55.0,2657,5.83,5.8,3.38,2.0,19637.8,32064.999999999996,114.29132,1.0051724137931035,10.00414201183432
0.93,3,1,2,62.6,57.0,4214,6.2,6.26,3.9,1.0,24414.0,35340.0,151.36679999999998,0.9904153354632589,9.95179487179487
2.05,4,6,3,61.2,57.0,15837,8.24,8.21,5.03,2.0,30783.600000000002,46968.0,340.281512,1.0036540803897684,13.449383697813122
0.32,4,5,7,61.4,58.0,936,4.42,4.37,2.7,2.0,16578.0,25636.0,52.15158,1.0114416475972539,7.153851851851852
0.51,4,2,4,61.0,60.0,1656,5.12,5.17,3.14,1.0,19154.000000000004,30720.0,83.117056,0.9903288201160542,8.430063694267517
1.11,4,4,3,60.9,59.0,4096,6.69,6.64,4.07,2.0,24786.3,39471.0,180.79591200000002,1.0075301204819278,10.914398034398033
0.9,4,5,3,62.8,62.0,3387,6.09,6.05,3.81,2.0,23926.8,37758.0,140.377545,1.006611570247934,9.67047244094488
0.7,5,6,2,61.5,53.0,1702,5.74,5.77,3.54,2.0,21771.0,30422.000000000004,117.244092,0.9948006932409014,9.355875706214688
1.19,3,1,2,61.1,58.0,6157,6.84,6.88,4.19,1.0,25600.9,39672.0,197.17804800000002,0.9941860465116279,11.231312649164677
0.3,4,2,3,62.5,59.0,526,4.28,4.3,2.68,1.0,16750.0,25252.0,49.322720000000004,0.9953488372093025,6.867164179104477
0.3,5,1,4,60.6,58.0,670,4.31,4.33,2.62,1.0,15877.200000000003,24998.0,48.895226,0.995381062355658,7.123015267175572
0.54,5,7,3,62.5,54.0,964,5.22,5.25,3.27,2.0,20437.5,28188.0,89.61434999999999,0.9942857142857142,8.380733944954128
0.5,1,5,5,66.6,58.0,1134,4.95,4.84,3.26,2.0,21711.599999999995,28710.000000000004,78.10307999999999,1.0227272727272727,7.349079754601227
1.12,4,4,2,61.2,58.0,4084,6.67,6.69,4.09,2.0,25030.8,38686.0,182.505207,0.9970104633781763,10.910097799511004
2.01,1,1,2,66.9,57.0,16086,7.87,7.76,5.23,1.0,34988.700000000004,44859.0,319.402376,1.0141752577319587,11.677093690248565
0.3,4,3,6,62.4,58.0,945,4.28,4.25,2.66,1.0,16598.4,24824.0,48.385400000000004,1.0070588235294118,6.838345864661655
1.5,4,3,5,62.2,60.0,15851,7.3,7.27,4.53,1.0,28176.600000000002,43800.0,240.41163,1.0041265474552958,11.715452538631345
0.71,4,2,3,60.1,60.0,2552,5.78,5.73,3.45,1.0,20734.500000000004,34680.0,114.26193000000002,1.0087260034904013,9.599826086956522
0.55,5,4,5,61.5,57.0,1763,5.23,5.28,3.23,2.0,19864.5,29811.0,89.19451200000002,0.9905303030303031,8.54934984520124
0.52,2,6,3,63.6,60.0,1073,5.1,5.05,3.23,2.0,20542.8,30600.0,83.18865,1.00990099009901,7.973684210526316
1.2,4,1,4,61.1,58.0,10161,6.85,6.83,4.18,1.0,25539.8,39729.99999999999,195.56338999999997,1.0029282576866763,11.192703349282297
0.73,5,2,3,62.8,57.0,2728,5.73,5.74,3.6,1.0,22608.0,32661.0,118.40472000000003,0.9982578397212544,9.136166666666668
0.43,5,6,7,62.2,57.0,968,4.84,4.81,3.0,2.0,18660.000000000004,27588.0,69.84119999999999,1.0062370062370063,7.760133333333332
1.1,5,5,3,62.5,57.0,4764,6.6,6.56,4.11,2.0,25687.5,37620.0,177.94655999999998,1.0060975609756098,10.534306569343062
0.76,5,5,3,61.4,55.0,3050,5.82,5.9,3.6,2.0,22104.0,32010.000000000004,123.61680000000001,0.9864406779661017,9.538333333333334
0.71,3,4,5,64.0,56.0,2630,5.65,5.67,3.62,2.0,23168.0,31640.000000000004,115.96851,0.9964726631393299,8.849585635359116
1.03,2,7,1,58.2,64.0,2220,6.64,6.69,3.88,2.0,22581.6,42496.0,172.355808,0.9925261584454409,11.448865979381443
1.02,5,7,2,60.3,54.0,2879,6.53,6.5,3.93,2.0,23697.899999999998,35262.0,166.80885,1.0046153846153847,10.800254452926207
0.35,5,4,7,61.0,56.0,1028,4.56,4.59,2.79,2.0,17019.0,25536.0,58.395815999999996,0.9934640522875816,7.501935483870967
0.34,2,5,3,63.7,57.0,490,4.44,4.45,2.83,2.0,18027.100000000002,25308.0,55.91514000000001,0.9977528089887641,6.981625441696114
0.7,1,4,4,64.9,57.0,2479,5.55,5.54,3.6,2.0,23364.0,31634.999999999996,110.6892,1.0018050541516246,8.540833333333333
0.5,5,3,4,60.9,57.0,1749,5.14,5.16,3.14,1.0,19122.6,29297.999999999996,83.28033599999999,0.9961240310077518,8.446624203821655
0.74,4,2,5,62.8,59.0,3357,5.76,5.68,3.59,1.0,22545.199999999997,33984.0,117.453312,1.0140845070422535,9.113314763231198
1.11,4,4,3,60.1,60.0,5281,6.73,6.68,4.03,2.0,24220.300000000003,40380.0,181.174292,1.00748502994012,11.15543424317618
0.31,4,5,8,60.8,59.0,949,4.39,4.36,2.66,2.0,16172.800000000001,25901.0,50.913464000000005,1.006880733944954,7.19563909774436
0.4,5,5,7,62.0,54.0,1017,4.72,4.76,2.94,2.0,18228.0,25488.0,66.053568,0.9915966386554622,7.641904761904762
0.51,5,2,5,61.5,56.0,1758,5.11,5.16,3.16,1.0,19434.0,28616.000000000004,83.32161600000002,0.9903100775193798,8.344177215189873
2.01,2,4,2,63.6,59.0,15977,8.0,7.95,5.07,2.0,32245.2,47200.0,322.452,1.0062893081761006,12.544378698224852
1.51,5,6,4,61.6,57.0,9352,7.34,7.28,4.5,2.0,27720.0,41838.0,240.4584,1.0082417582417582,11.874488888888889
0.91,1,1,4,64.5,55.0,4765,6.24,6.07,3.97,1.0,25606.5,34320.0,150.37089600000002,1.028006589785832,9.540755667506298
0.5,4,1,4,62.2,60.0,1431,5.15,5.05,3.17,1.0,19717.4,30900.0,82.443775,1.0198019801980198,8.204258675078865
0.37,4,4,5,61.5,58.0,957,4.6,4.57,2.82,2.0,17342.999999999996,26679.999999999996,59.282039999999995,1.0065645514223194,7.454609929078014
1.01,3,4,5,58.8,58.0,6777,6.52,6.61,3.86,2.0,22696.8,37816.0,166.355192,0.9863842662632374,11.165077720207254
0.75,5,7,3,61.5,56.0,2850,5.83,5.87,3.6,2.0,22140.0,32648.0,123.19955999999999,0.9931856899488927,9.506138888888888
0.53,4,2,4,59.6,58.0,2061,5.36,5.32,3.18,1.0,18952.800000000003,31088.0,90.67833600000002,1.0075187969924813,8.967044025157234
0.89,5,1,2,60.8,56.0,4192,6.22,6.25,3.79,1.0,23043.199999999997,34832.0,147.33625,0.9952,10.257255936675461
0.9,2,6,7,63.6,58.0,4114,6.14,6.1,3.89,2.0,24740.4,35612.0,145.69606,1.0065573770491802,9.628277634961437
0.48,4,5,5,60.7,61.0,1270,5.04,5.01,3.05,2.0,18513.5,30744.0,77.01371999999999,1.005988023952096,8.278819672131148
0.9,3,4,2,61.1,55.0,3445,6.21,6.26,3.81,2.0,23279.1,34155.0,148.112226,0.9920127795527157,10.203307086614174
0.9,4,5,1,58.8,62.0,1599,6.32,6.26,3.7,2.0,21756.0,39184.0,146.38384000000002,1.0095846645367412,10.692756756756756
0.56,3,1,3,62.2,63.0,1378,5.23,5.28,3.27,1.0,20339.4,32949.0,90.29908800000001,0.9905303030303031,8.444770642201837
0.52,5,4,4,61.9,55.0,1586,5.15,5.19,3.2,2.0,19808.0,28325.0,85.53120000000001,0.9922928709055877,8.35265625
0.74,5,2,6,62.2,57.0,4082,5.78,5.83,3.61,1.0,22454.2,32946.0,121.647614,0.9914236706689538,9.334459833795014
0.81,4,1,5,62.3,58.0,4284,5.94,6.0,3.72,1.0,23175.6,34452.00000000001,132.5808,0.9900000000000001,9.580645161290322
0.71,5,3,3,62.9,57.0,2381,5.71,5.65,3.57,1.0,22455.3,32546.999999999996,115.17355500000001,1.0106194690265486,9.03683473389356
1.2,4,7,2,59.6,62.0,3951,6.95,6.9,4.13,2.0,24614.8,43090.0,198.05415000000002,1.0072463768115942,11.611380145278453
0.3,4,3,4,61.4,60.0,776,4.34,4.29,2.65,1.0,16270.999999999998,26039.999999999996,49.33929,1.0116550116550116,7.02588679245283
1.19,3,2,3,58.0,63.0,5956,6.9,6.97,4.02,1.0,23315.999999999996,43470.00000000001,193.33386,0.9899569583931135,11.963432835820898
0.34,4,6,3,60.0,58.0,589,4.55,4.51,2.72,2.0,16320.000000000002,26389.999999999996,55.81576,1.0088691796008868,7.544301470588234
1.22,5,1,4,61.7,56.0,10538,6.89,6.86,4.24,1.0,26160.8,38584.0,200.40529600000002,1.0043731778425655,11.147499999999999
0.45,2,2,3,63.9,57.0,1063,4.86,4.81,3.09,1.0,19745.1,27702.000000000004,72.233694,1.0103950103950106,7.565242718446602
1.01,4,5,4,61.9,62.0,4559,6.45,6.37,3.97,2.0,24574.3,39990.0,163.113405,1.012558869701727,10.349244332493702
1.38,2,7,2,63.7,58.0,4598,7.06,7.01,4.48,2.0,28537.600000000002,40947.99999999999,221.717888,1.007132667617689,11.047008928571426
0.92,5,3,4,61.2,56.0,5805,6.25,6.3,3.84,1.0,23500.8,35000.0,151.2,0.9920634920634921,10.25390625
0.91,4,2,5,62.7,59.0,4969,6.19,6.15,3.87,1.0,24264.9,36521.0,147.32509500000003,1.0065040650406505,9.836821705426358
1.25,3,2,2,60.8,55.0,6073,6.94,7.0,4.24,1.0,25779.199999999997,38170.00000000001,205.97920000000002,0.9914285714285714,11.457547169811322
0.41,5,6,4,61.5,55.0,747,4.8,4.82,2.96,2.0,18204.0,26400.0,68.48255999999999,0.9958506224066389,7.816216216216216
0.41,5,6,6,60.7,57.0,894,4.81,4.84,2.93,2.0,17785.100000000002,27416.999999999996,68.21157199999999,0.993801652892562,7.945529010238906
2.11,4,7,2,61.0,58.0,12554,8.29,8.2,5.03,2.0,30683.000000000004,48081.99999999999,341.9293399999999,1.0109756097560976,13.514512922465205
0.5,5,2,3,60.6,57.0,1250,5.19,5.14,3.13,1.0,18967.8,29583.000000000004,83.497758,1.0097276264591442,8.522875399361023
0.3,4,1,4,61.0,58.0,911,4.34,4.32,2.64,1.0,16104.000000000002,25172.0,49.496832,1.0046296296296295,7.101818181818182
0.33,4,4,6,61.0,58.0,752,4.44,4.48,2.72,2.0,16592.0,25752.000000000004,54.104064000000015,0.9910714285714286,7.31294117647059
1.32,4,6,5,62.4,58.0,4719,7.01,6.96,4.36,2.0,27206.4,40658.0,212.72265600000003,1.007183908045977,11.190275229357797
1.57,5,6,2,62.8,57.0,7385,7.39,7.36,4.63,2.0,29076.399999999994,42122.99999999999,251.827552,1.0040760869565217,11.747386609071274
0.23,3,1,6,61.9,60.0,505,3.9,3.95,2.43,1.0,15041.7,23400.0,37.43415,0.9873417721518987,6.339506172839506
1.09,4,3,5,60.9,58.0,8057,6.63,6.67,4.05,1.0,24664.5,38454.0,179.099505,0.9940029985007496,10.919037037037038
0.91,2,4,2,63.6,59.0,3282,6.15,6.11,3.9,2.0,24804.0,36285.0,146.54835,1.0065466448445173,9.635000000000002
1.25,5,4,2,61.5,56.0,6300,7.0,6.92,4.28,2.0,26322.000000000004,39200.0,207.3232,1.0115606936416186,11.317757009345794
0.29,3,1,6,59.1,61.0,600,4.33,4.37,2.57,1.0,15188.7,26413.0,48.629796999999996,0.9908466819221968,7.362684824902725
1.01,3,1,4,60.6,56.0,7001,6.45,6.51,3.93,1.0,23815.800000000003,36120.0,165.018735,0.9907834101382489,10.684351145038168
0.56,4,4,3,60.2,59.0,1441,5.36,5.34,3.22,2.0,19384.4,31624.0,92.16412800000002,1.00374531835206,8.888944099378882
0.61,5,4,7,62.7,58.0,2544,5.39,5.43,3.39,2.0,21255.300000000003,31262.0,99.217503,0.992633517495396,8.63353982300885
0.71,2,6,6,63.1,58.0,2428,5.64,5.71,3.58,2.0,22589.8,32712.0,115.291752,0.9877408056042031,8.995642458100559
0.35,5,1,7,61.5,57.0,1167,4.52,4.55,2.79,1.0,17158.5,25764.0,57.37914,0.9934065934065933,7.371326164874551
0.34,5,4,8,61.3,56.0,974,4.52,4.55,2.78,2.0,17041.399999999998,25311.999999999996,57.17347999999999,0.9934065934065933,7.397841726618705
2.01,4,6,3,60.5,58.0,12829,8.2,8.06,4.92,2.0,29765.999999999996,47560.0,325.17264,1.0173697270471462,13.433333333333334
1.58,4,7,3,59.8,58.0,7654,7.61,7.57,4.54,2.0,27149.199999999997,44138.0,261.538958,1.0052840158520475,12.688920704845815
1.02,5,2,4,60.7,56.0,6704,6.58,6.61,4.0,1.0,24280.0,36848.0,173.9752,0.9954614220877458,10.87345
0.3,3,4,3,59.5,63.0,574,4.32,4.29,2.56,2.0,15232.0,27216.000000000004,47.443968000000005,1.006993006993007,7.239375000000001
