carat,cut,color,clarity,depth,table,price,x,y,z,color_classification,z_depth,table_width
1.0,3,1,3,60.1,60.0,4697,6.47,6.55,3.91,Colorless,23499.100000000002,38820.0
0.5,1,2,2,68.6,56.0,871,4.87,4.75,3.3,Colorless,22637.999999999996,27272.000000000004
0.42,5,4,6,62.1,57.0,1103,4.8,4.77,2.97,Near Colorless,18443.7,27359.999999999996
0.77,5,5,3,62.2,56.0,2781,5.83,5.88,3.64,Near Colorless,22640.800000000003,32648.0
2.3,4,6,2,61.3,58.0,11051,8.53,8.46,5.21,Near Colorless,31937.3,49473.99999999999
0.53,3,4,5,60.9,56.0,1636,5.24,5.27,3.2,Near Colorless,19488.0,29344.0
1.22,5,4,5,62.5,57.0,8608,6.82,6.77,4.25,Near Colorless,26562.5,38874.0
0.37,5,6,5,60.8,56.0,603,4.67,4.71,2.85,Near Colorless,17328.0,26152.0
1.82,4,6,5,61.4,60.0,13939,7.83,7.8,4.8,Near Colorless,29471.999999999996,46980.0
0.74,3,2,4,61.8,58.0,3180,5.79,5.82,3.59,Colorless,22186.2,33582.0
0.64,3,6,3,63.0,57.0,1390,5.47,5.52,3.46,Near Colorless,21798.0,31178.999999999996
0.32,5,3,7,60.3,57.0,912,4.42,4.44,2.67,Colorless,16100.099999999999,25194.0
0.3,4,7,4,60.6,59.0,473,4.38,4.34,2.64,Near Colorless,15998.400000000001,25842.0
0.67,4,4,4,61.0,57.0,2050,5.68,5.63,3.45,Near Colorless,21045.0,32376.0
0.43,5,1,3,61.5,56.0,830,4.82,4.87,2.98,Colorless,18327.0,26992.0
1.01,3,3,5,62.8,58.0,6999,6.32,6.39,3.99,Colorless,25057.2,36656.0
1.54,3,7,3,61.2,59.0,7453,7.41,7.45,4.55,Near Colorless,27845.999999999996,43719.0
1.01,3,2,4,63.3,58.0,6516,6.38,6.35,4.03,Colorless,25509.9,37004.0
1.2,4,4,5,62.5,59.0,8056,6.72,6.64,4.19,Near Colorless,26187.5,39647.99999999999
0.3,5,2,7,62.5,56.0,862,4.28,4.3,2.68,Colorless,16750.0,23968.0
1.56,5,6,3,62.5,54.0,9788,7.45,7.37,4.63,Near Colorless,28937.5,40230.0
0.32,5,4,6,61.1,55.0,730,4.42,4.45,2.71,Near Colorless,16558.1,24310.0
0.53,5,2,4,61.9,55.0,1813,5.22,5.19,3.22,Colorless,19931.800000000003,28709.999999999996
0.73,5,2,3,62.2,56.0,2791,5.74,5.78,3.58,Colorless,22267.600000000002,32144.0
0.4,3,3,5,60.4,58.0,868,4.75,4.79,2.88,Colorless,17395.2,27550.0
0.56,5,1,3,61.2,57.0,1664,5.37,5.35,3.28,Colorless,20073.6,30609.000000000004
0.32,4,5,7,62.9,58.0,936,4.37,4.34,2.74,Near Colorless,17234.6,25346.0
0.41,4,2,5,59.9,58.0,1079,4.83,4.88,2.91,Colorless,17430.9,28014.0
0.38,5,4,5,62.1,56.0,1040,4.68,4.63,2.89,Near Colorless,17946.9,26208.0
1.53,4,3,3,62.0,56.0,11370,7.47,7.39,4.61,Colorless,28582.0,41832.0
1.02,4,5,2,61.1,61.0,4113,6.51,6.48,3.97,Near Colorless,24256.7,39711.0
2.41,2,6,2,57.7,61.0,17923,8.87,8.83,5.11,Near Colorless,29484.700000000004,54106.99999999999
0.7,3,2,4,58.8,56.0,2473,5.79,5.84,3.42,Colorless,20109.6,32424.0
1.05,4,5,2,63.0,59.0,4234,6.48,6.44,4.07,Near Colorless,25641.000000000004,38232.00000000001
0.24,5,3,7,60.8,55.0,678,4.03,4.06,2.46,Colorless,14956.8,22165.0
0.7,4,4,4,58.1,55.0,2657,5.83,5.8,3.38,Near Colorless,19637.8,32064.999999999996
0.93,3,1,2,62.6,57.0,4214,6.2,6.26,3.9,Colorless,24414.0,35340.0
2.05,4,6,3,61.2,57.0,15837,8.24,8.21,5.03,Near Colorless,30783.600000000002,46968.0
0.32,4,5,7,61.4,58.0,936,4.42,4.37,2.7,Near Colorless,16578.0,25636.0
0.51,4,2,4,61.0,60.0,1656,5.12,5.17,3.14,Colorless,19154.000000000004,30720.0
1.11,4,4,3,60.9,59.0,4096,6.69,6.64,4.07,Near Colorless,24786.3,39471.0
0.9,4,5,3,62.8,62.0,3387,6.09,6.05,3.81,Near Colorless,23926.8,37758.0
0.7,5,6,2,61.5,53.0,1702,5.74,5.77,3.54,Near Colorless,21771.0,30422.000000000004
1.19,3,1,2,61.1,58.0,6157,6.84,6.88,4.19,Colorless,25600.9,39672.0
0.3,4,2,3,62.5,59.0,526,4.28,4.3,2.68,Colorless,16750.0,25252.0
0.3,5,1,4,60.6,58.0,670,4.31,4.33,2.62,Colorless,15877.200000000003,24998.0
0.54,5,7,3,62.5,54.0,964,5.22,5.25,3.27,Near Colorless,20437.5,28188.0
0.5,1,5,5,66.6,58.0,1134,4.95,4.84,3.26,Near Colorless,21711.599999999995,28710.000000000004
1.12,4,4,2,61.2,58.0,4084,6.67,6.69,4.09,Near Colorless,25030.8,38686.0
2.01,1,1,2,66.9,57.0,16086,7.87,7.76,5.23,Colorless,34988.700000000004,44859.0
0.3,4,3,6,62.4,58.0,945,4.28,4.25,2.66,Colorless,16598.4,24824.0
1.5,4,3,5,62.2,60.0,15851,7.3,7.27,4.53,Colorless,28176.600000000002,43800.0
0.71,4,2,3,60.1,60.0,2552,5.78,5.73,3.45,Colorless,20734.500000000004,34680.0
0.55,5,4,5,61.5,57.0,1763,5.23,5.28,3.23,Near Colorless,19864.5,29811.0
0.52,2,6,3,63.6,60.0,1073,5.1,5.05,3.23,Near Colorless,20542.8,30600.0
1.2,4,1,4,61.1,58.0,10161,6.85,6.83,4.18,Colorless,25539.8,39729.99999999999
0.73,5,2,3,62.8,57.0,2728,5.73,5.74,3.6,Colorless,22608.0,32661.0
0.43,5,6,7,62.2,57.0,968,4.84,4.81,3.0,Near Colorless,18660.000000000004,27588.0
1.1,5,5,3,62.5,57.0,4764,6.6,6.56,4.11,Near Colorless,25687.5,37620.0
0.76,5,5,3,61.4,55.0,3050,5.82,5.9,3.6,Near Colorless,22104.0,32010.000000000004
0.71,3,4,5,64.0,56.0,2630,5.65,5.67,3.62,Near Colorless,23168.0,31640.000000000004
1.03,2,7,1,58.2,64.0,2220,6.64,6.69,3.88,Near Colorless,22581.6,42496.0
1.02,5,7,2,60.3,54.0,2879,6.53,6.5,3.93,Near Colorless,23697.899999999998,35262.0
0.35,5,4,7,61.0,56.0,1028,4.56,4.59,2.79,Near Colorless,17019.0,25536.0
0.34,2,5,3,63.7,57.0,490,4.44,4.45,2.83,Near Colorless,18027.100000000002,25308.0
0.7,1,4,4,64.9,57.0,2479,5.55,5.54,3.6,Near Colorless,23364.0,31634.999999999996
0.5,5,3,4,60.9,57.0,1749,5.14,5.16,3.14,Colorless,19122.6,29297.999999999996
0.74,4,2,5,62.8,59.0,3357,5.76,5.68,3.59,Colorless,22545.199999999997,33984.0
1.11,4,4,3,60.1,60.0,5281,6.73,6.68,4.03,Near Colorless,24220.300000000003,40380.0
0.31,4,5,8,60.8,59.0,949,4.39,4.36,2.66,Near Colorless,16172.800000000001,25901.0
0.4,5,5,7,62.0,54.0,1017,4.72,4.76,2.94,Near Colorless,18228.0,25488.0
0.51,5,2,5,61.5,56.0,1758,5.11,5.16,3.16,Colorless,19434.0,28616.000000000004
2.01,2,4,2,63.6,59.0,15977,8.0,7.95,5.07,Near Colorless,32245.2,47200.0
1.51,5,6,4,61.6,57.0,9352,7.34,7.28,4.5,Near Colorless,27720.0,41838.0
0.91,1,1,4,64.5,55.0,4765,6.24,6.07,3.97,Colorless,25606.5,34320.0
0.5,4,1,4,62.2,60.0,1431,5.15,5.05,3.17,Colorless,19717.4,30900.0
0.37,4,4,5,61.5,58.0,957,4.6,4.57,2.82,Near Colorless,17342.999999999996,26679.999999999996
1.01,3,4,5,58.8,58.0,6777,6.52,6.61,3.86,Near Colorless,22696.8,37816.0
0.75,5,7,3,61.5,56.0,2850,5.83,5.87,3.6,Near Colorless,22140.0,32648.0
0.53,4,2,4,59.6,58.0,2061,5.36,5.32,3.18,Colorless,18952.800000000003,31088.0
0.89,5,1,2,60.8,56.0,4192,6.22,6.25,3.79,Colorless,23043.199999999997,34832.0
0.9,2,6,7,63.6,58.0,4114,6.14,6.1,3.89,Near Colorless,24740.4,35612.0
0.48,4,5,5,60.7,61.0,1270,5.04,5.01,3.05,Near Colorless,18513.5,30744.0
0.9,3,4,2,61.1,55.0,3445,6.21,6.26,3.81,Near Colorless,23279.1,34155.0
0.9,4,5,1,58.8,62.0,1599,6.32,6.26,3.7,Near Colorless,21756.0,39184.0
0.56,3,1,3,62.2,63.0,1378,5.23,5.28,3.27,Colorless,20339.4,32949.0
0.52,5,4,4,61.9,55.0,1586,5.15,5.19,3.2,Near Colorless,19808.0,28325.0
0.74,5,2,6,62.2,57.0,4082,5.78,5.83,3.61,Colorless,22454.2,32946.0
0.81,4,1,5,62.3,58.0,4284,5.94,6.0,3.72,Colorless,23175.6,34452.00000000001
0.71,5,3,3,62.9,57.0,2381,5.71,5.65,3.57,Colorless,22455.3,32546.999999999996
1.2,4,7,2,59.6,62.0,3951,6.95,6.9,4.13,Near Colorless,24614.8,43090.0
0.3,4,3,4,61.4,60.0,776,4.34,4.29,2.65,Colorless,16270.999999999998,26039.999999999996
1.19,3,2,3,58.0,63.0,5956,6.9,6.97,4.02,Colorless,23315.999999999996,43470.00000000001
0.34,4,6,3,60.0,58.0,589,4.55,4.51,2.72,Near Colorless,16320.000000000002,26389.999999999996
1.22,5,1,4,61.7,56.0,10538,6.89,6.86,4.24,Colorless,26160.8,38584.0
0.45,2,2,3,63.9,57.0,1063,4.86,4.81,3.09,Colorless,19745.1,27702.000000000004
1.01,4,5,4,61.9,62.0,4559,6.45,6.37,3.97,Near Colorless,24574.3,39990.0
1.38,2,7,2,63.7,58.0,4598,7.06,7.01,4.48,Near Colorless,28537.600000000002,40947.99999999999
0.92,5,3,4,61.2,56.0,5805,6.25,6.3,3.84,Colorless,23500.8,35000.0
0.91,4,2,5,62.7,59.0,4969,6.19,6.15,3.87,Colorless,24264.9,36521.0
1.25,3,2,2,60.8,55.0,6073,6.94,7.0,4.24,Colorless,25779.199999999997,38170.00000000001
0.41,5,6,4,61.5,55.0,747,4.8,4.82,2.96,Near Colorless,18204.0,26400.0
0.41,5,6,6,60.7,57.0,894,4.81,4.84,2.93,Near Colorless,17785.100000000002,27416.999999999996
2.11,4,7,2,61.0,58.0,12554,8.29,8.2,5.03,Near Colorless,30683.000000000004,48081.99999999999
0.5,5,2,3,60.6,57.0,1250,5.19,5.14,3.13,Colorless,18967.8,29583.000000000004
0.3,4,1,4,61.0,58.0,911,4.34,4.32,2.64,Colorless,16104.000000000002,25172.0
0.33,4,4,6,61.0,58.0,752,4.44,4.48,2.72,Near Colorless,16592.0,25752.000000000004
1.32,4,6,5,62.4,58.0,4719,7.01,6.96,4.36,Near Colorless,27206.4,40658.0
1.57,5,6,2,62.8,57.0,7385,7.39,7.36,4.63,Near Colorless,29076.399999999994,42122.99999999999
0.23,3,1,6,61.9,60.0,505,3.9,3.95,2.43,Colorless,15041.7,23400.0
1.09,4,3,5,60.9,58.0,8057,6.63,6.67,4.05,Colorless,24664.5,38454.0
0.91,2,4,2,63.6,59.0,3282,6.15,6.11,3.9,Near Colorless,24804.0,36285.0
1.25,5,4,2,61.5,56.0,6300,7.0,6.92,4.28,Near Colorless,26322.000000000004,39200.0
0.29,3,1,6,59.1,61.0,600,4.33,4.37,2.57,Colorless,15188.7,26413.0
1.01,3,1,4,60.6,56.0,7001,6.45,6.51,3.93,Colorless,23815.800000000003,36120.0
0.56,4,4,3,60.2,59.0,1441,5.36,5.34,3.22,Near Colorless,19384.4,31624.0
0.61,5,4,7,62.7,58.0,2544,5.39,5.43,3.39,Near Colorless,21255.300000000003,31262.0
0.71,2,6,6,63.1,58.0,2428,5.64,5.71,3.58,Near Colorless,22589.8,32712.0
0.35,5,1,7,61.5,57.0,1167,4.52,4.55,2.79,Colorless,17158.5,25764.0
0.34,5,4,8,61.3,56.0,974,4.52,4.55,2.78,Near Colorless,17041.399999999998,25311.999999999996
2.01,4,6,3,60.5,58.0,12829,8.2,8.06,4.92,Near Colorless,29765.999999999996,47560.0
1.58,4,7,3,59.8,58.0,7654,7.61,7.57,4.54,Near Colorless,27149.199999999997,44138.0
1.02,5,2,4,60.7,56.0,6704,6.58,6.61,4.0,Colorless,24280.0,36848.0
0.3,3,4,3,59.5,63.0,574,4.32,4.29,2.56,Near Colorless,15232.0,27216.000000000004
0.71,5,3,4,62.1,54.0,2780,5.68,5.72,3.54,Colorless,21983.4,30671.999999999996
1.01,3,6,3,64.2,55.0,4475,6.28,6.34,4.05,Near Colorless,26001.0,34540.0
1.02,5,4,4,60.5,57.0,6356,6.51,6.55,3.95,Near Colorless,23897.500000000004,37107.0
0.4,4,3,5,62.5,59.0,1050,4.69,4.66,2.92,Colorless,18250.0,27671.000000000004
0.32,4,3,7,60.7,58.0,1235,4.4,4.43,2.68,Colorless,16267.600000000002,25520.0
0.74,2,1,7,59.2,62.6,4274,5.85,5.87,3.47,Colorless,20542.400000000005,36621.0
0.72,5,3,5,61.3,56.0,3759,5.74,5.78,3.54,Colorless,21700.199999999997,32144.0
0.75,5,5,3,61.9,55.0,3011,5.82,5.85,3.61,Near Colorless,22345.899999999998,32010.000000000004
1.51,4,2,3,58.3,59.0,12644,7.52,7.47,4.37,Colorless,25477.1,44367.99999999999
0.53,2,2,4,58.6,62.0,1422,5.26,5.32,3.1,Colorless,18166.0,32612.0
1.25,4,6,2,60.5,58.0,5166,7.0,6.96,4.22,Near Colorless,25530.999999999996,40600.0
0.51,3,2,5,62.0,61.0,1636,5.11,5.14,3.18,Colorless,19716.0,31171.000000000004
0.32,5,6,6,62.2,54.5,567,4.38,4.42,2.74,Near Colorless,17042.800000000003,23871.0
0.55,5,5,8,62.3,54.0,1905,5.25,5.28,3.28,Near Colorless,20434.399999999998,28350.0
1.02,5,2,5,62.6,56.0,8545,6.45,6.42,4.03,Colorless,25227.800000000003,36120.0
1.2,5,3,4,61.2,53.0,8588,6.88,6.85,4.2,Colorless,25704.000000000004,36464.0
1.0,4,2,7,60.3,54.0,10134,6.59,6.47,3.94,Colorless,23758.2,35586.0
0.3,5,5,3,62.0,58.0,407,4.25,4.33,2.66,Near Colorless,16492.0,24650.0
0.55,4,4,2,60.3,58.0,1186,5.35,5.33,3.22,Near Colorless,19416.6,31029.999999999996
0.32,5,1,3,62.6,55.0,756,4.39,4.36,2.74,Colorless,17152.4,24145.0
1.26,4,4,4,60.1,61.0,8113,7.04,6.97,4.21,Near Colorless,25302.100000000002,42944.0
1.22,5,3,2,62.5,56.0,6518,6.85,6.81,4.27,Colorless,26687.5,38360.0
0.88,5,6,3,63.2,56.0,3264,6.04,6.09,3.83,Near Colorless,24205.600000000002,33824.0
0.52,5,2,4,60.9,57.0,1689,5.21,5.23,3.18,Colorless,19366.2,29696.999999999996
0.52,5,4,3,62.2,54.0,1352,5.18,5.2,3.23,Near Colorless,20090.600000000002,27971.999999999996
0.9,4,3,2,60.5,57.0,3704,6.23,6.2,3.76,Colorless,22748.0,35511.0
0.32,5,1,5,61.1,56.0,707,4.44,4.47,2.72,Colorless,16619.2,24864.0
0.51,3,1,4,63.7,55.0,1599,5.05,5.09,3.23,Colorless,20575.100000000002,27775.0
0.84,4,3,2,62.3,59.0,2863,6.06,6.01,3.76,Colorless,23424.799999999996,35754.0
1.56,5,5,2,62.3,55.0,6716,7.39,7.35,4.59,Near Colorless,28595.7,40645.0
0.24,5,3,6,62.6,57.0,552,3.93,3.96,2.47,Colorless,15462.2,22401.000000000004
0.35,4,4,6,62.2,58.0,1024,4.54,4.49,2.81,Near Colorless,17478.2,26332.0
0.36,4,1,2,60.0,58.0,689,4.62,4.58,2.76,Colorless,16560.0,26795.999999999996
0.4,4,4,8,59.8,58.0,1333,4.79,4.85,2.88,Near Colorless,17222.399999999998,27782.0
1.52,3,7,3,62.3,57.0,7239,7.32,7.38,4.58,Near Colorless,28533.4,41724.0
0.25,3,6,6,62.1,56.0,500,4.03,4.05,2.51,Near Colorless,15587.099999999999,22568.0
1.04,3,3,5,61.6,60.0,8090,6.49,6.54,4.01,Colorless,24701.6,38940.0
0.73,5,3,5,61.2,56.0,2835,5.89,5.81,3.58,Colorless,21909.6,32984.0
1.11,3,5,2,61.5,59.0,4029,6.56,6.61,4.05,Near Colorless,24907.5,38704.0
0.4,4,2,3,62.0,61.0,882,4.71,4.67,2.91,Colorless,18042.0,28731.0
0.26,5,2,6,61.3,57.0,733,4.12,4.15,2.53,Colorless,15508.899999999998,23484.0
2.1,1,4,1,67.4,59.0,6597,7.82,7.76,5.24,Near Colorless,35317.600000000006,46138.0
0.36,4,4,3,61.8,59.0,537,4.55,4.57,2.82,Near Colorless,17427.6,26845.0
0.57,3,3,4,62.0,54.0,1637,5.31,5.34,3.3,Colorless,20460.0,28673.999999999996
0.79,5,5,8,61.3,56.0,4046,5.96,5.98,3.66,Near Colorless,22435.8,33376.0
0.34,5,2,3,62.9,56.0,765,4.48,4.45,2.81,Colorless,17674.899999999998,25088.000000000004
0.9,4,5,4,60.0,59.0,3629,6.23,6.16,3.72,Near Colorless,22320.0,36757.00000000001
0.9,3,3,3,60.4,60.0,3950,6.23,6.29,3.78,Colorless,22831.199999999997,37380.0
0.32,5,1,2,59.8,57.0,477,4.4,4.46,2.65,Colorless,15847.0,25080.0
0.31,2,1,2,63.6,54.0,593,4.34,4.31,2.75,Colorless,17490.0,23436.0
0.35,4,4,5,60.7,61.0,906,4.58,4.54,2.77,Near Colorless,16813.9,27938.0
0.72,5,2,2,61.9,55.0,2398,5.76,5.78,3.57,Colorless,22098.3,31680.0
0.73,5,2,3,60.1,56.0,2661,5.91,5.87,3.54,Colorless,21275.4,33096.0
0.3,5,5,3,61.9,57.0,450,4.3,4.32,2.67,Near Colorless,16527.3,24510.0
0.75,5,2,2,62.6,55.0,3129,5.72,5.79,3.6,Colorless,22536.0,31459.999999999996
1.01,1,4,2,67.1,59.0,2942,6.27,6.19,4.18,Near Colorless,28047.799999999996,36992.99999999999
1.01,2,6,4,63.6,57.0,3620,6.3,6.21,3.98,Near Colorless,25312.800000000003,35910.0
0.55,3,2,6,60.6,56.0,2499,5.33,5.36,3.24,Colorless,19634.4,29848.0
0.3,5,2,4,62.0,55.0,658,4.25,4.3,2.65,Colorless,16430.0,23375.0
1.99,4,4,2,59.1,61.0,11486,8.08,8.05,4.77,Near Colorless,28190.699999999997,49288.0
0.5,5,1,6,61.8,54.1,2639,5.1,5.14,3.16,Colorless,19528.800000000003,27590.999999999996
0.37,5,4,4,62.2,57.0,833,4.64,4.59,2.87,Near Colorless,17851.4,26447.999999999996
0.32,5,3,7,61.1,56.0,1061,4.45,4.42,2.71,Colorless,16558.1,24920.0
0.72,5,3,3,61.0,55.0,2920,5.78,5.85,3.55,Colorless,21655.0,31790.000000000004
1.09,4,6,4,60.1,59.0,5306,6.74,6.67,4.03,Near Colorless,24220.300000000003,39766.0
0.9,3,4,4,58.8,61.0,4400,6.28,6.3,3.7,Near Colorless,21756.0,38308.00000000001
0.3,4,5,3,60.8,61.0,540,4.3,4.25,2.6,Near Colorless,15807.999999999998,26230.0
1.15,4,5,2,61.6,60.0,4830,6.75,6.72,4.15,Near Colorless,25564.0,40500.0
0.32,4,1,3,61.4,58.0,756,4.42,4.38,2.7,Colorless,16578.0,25636.0
0.5,4,5,3,62.9,58.0,1172,5.04,5.01,3.16,Near Colorless,19876.4,29232.0
0.4,4,2,3,62.0,55.0,945,4.74,4.68,2.92,Colorless,18104.0,26070.0
0.5,5,4,7,62.1,53.5,1865,5.08,5.13,3.17,Near Colorless,19685.7,27178.000000000004
0.83,4,2,3,60.7,58.0,3482,6.06,6.09,3.69,Colorless,22398.3,35147.99999999999
1.2,4,1,2,60.2,60.0,4203,6.94,6.81,4.14,Colorless,24922.8,41640.0
0.4,3,2,3,61.4,58.0,687,4.77,4.81,2.94,Colorless,18051.6,27665.999999999996
0.33,5,5,5,61.9,56.0,579,4.44,4.48,2.76,Near Colorless,17084.399999999998,24864.0
0.54,2,4,4,56.9,62.0,1637,5.42,5.4,3.08,Near Colorless,17525.2,33604.0
1.01,1,2,3,56.8,61.0,5185,6.59,6.62,3.75,Colorless,21300.0,40199.0
1.01,1,3,3,66.1,60.0,3197,6.15,6.13,4.06,Colorless,26836.59999999999,36900.0
0.31,5,5,6,62.4,57.0,625,4.32,4.36,2.71,Near Colorless,16910.399999999998,24624.0
0.4,3,2,3,62.9,58.0,707,4.71,4.74,2.97,Colorless,18681.300000000003,27318.0
